PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Lampi, F; Kopf, S; Benz, M; Effelsberg, W",,,,"Lampi, Fleming; Kopf, Stephan; Benz, Manuel; Effelsberg, Wolfgang",,,A virtual camera team for lecture recording,IEEE MULTIMEDIA,,,English,Article,,,,,,,,We present the design and implementation of a virtual camera team for recording classroom lectures. Our approach makes these recordings more lively and interesting.,"[Lampi, Fleming; Kopf, Stephan; Effelsberg, Wolfgang] Univ Mannheim, Dept Comp Sci 4, D-6800 Mannheim 1, Germany","Lampi, F (reprint author), Univ Mannheim, Dept Comp Sci 4, D-6800 Mannheim 1, Germany.",lampi@informatik.uni-mannheim.de; kopf@informatik.uni-mannheim.de; benz@informatik.uni-mannheim.de; effelsberg@informatik.uni-mannheim.de,,,,,,13,6,6,0,2,IEEE COMPUTER SOC,LOS ALAMITOS,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA",1070-986X,,,IEEE MULTIMEDIA,IEEE Multimedia,JUL-SEP,2008,15,3,,,,,58,62,,10.1109/MMUL.2008.43,,5,"Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,336XI,WOS:000258399700010,,No,,,29/11/2017
J,"Repp, S; Gross, A; Meinel, C",,,,"Repp, Stephan; Gross, Andreas; Meinel, Christoph",,,Browsing within Lecture Videos Based on the Chain Index of Speech Transcription,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,,,English,Article,,,,,,Multimedia retrieval; speech recognition; index; semantic; user interface; browsing; recorded lecture videos,,"The number of digital lecture video recordings has increased dramatically since recording technology became easier to use. The accessibility and ability to search within this large archive is limited and difficult. Additionally, detailed browsing in videos is not supported due to the lack of an explicit annotation. Manual annotation and segmentation is time-consuming and therefore useless. A promising approach is based on using the audio layer of a lecture recording to obtain information about the lecture's contents. In this paper, we present an indexing method for computer science courses based on their existing recorded videos. The transcriptions from a speech-recognition engine (SRE) are sufficient to create a chain index for detailed browsing inside a lecture video. The index structure and the evaluation of the supplied keywords are presented. The user interface for dynamic browsing of the e-learning contents concludes this paper.","[Repp, Stephan; Gross, Andreas; Meinel, Christoph] Hasso Plattner Inst Softwaresystemtech GmbH HPI, D-14440 Potsdam, Germany","Repp, S (reprint author), Hasso Plattner Inst Softwaresystemtech GmbH HPI, POB 900460, D-14440 Potsdam, Germany.",repp@hpi.uni-potsdam.de; gross@hpi.uni-potsdam.de; meinel@hpi.uni-potsdam.de,,,,,,53,16,16,1,11,IEEE COMPUTER SOC,LOS ALAMITOS,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA",1939-1382,,,IEEE T LEARN TECHNOL,IEEE Trans. Learn. Technol.,JUL-SEP,2008,1,3,,,,,145,156,,10.1109/TLT.2008.22,,12,"Computer Science, Interdisciplinary Applications; Education & Educational Research",Computer Science; Education & Educational Research,V16CK,WOS:000207847500002,,No,,,29/11/2017
S,"Dey, EL",,"Henderson, C; Sabella, M; Hsu, L",,"Dey, Eric L.",,,A Variety of Diversity: Facing Higher Education's Educational Challenges,2008 PHYSICS EDUCATION RESEARCH CONFERENCE,AIP CONFERENCE PROCEEDINGS,,English,Proceedings Paper,Physics Education Research Conference,"JUL 23-24, 2008","Edmonton, CANADA",Amer Assoc Phys Teachers,,Diversity; Lecture; Undergraduate education; Classroom technology,,"First among the many important challenges facing American higher education is the need to improve die effectiveness of our educational programs. Public concern has heightened the sense of urgency for colleges and universities to make progress on improving and measuring educational outcomes. which is made more challenging by the varieties of diversity facing us. Diversity is not just an issue related to student recruitment or experience, but rather it is one that also relates to institutions and their faculties. New educational methods must address such diversity to be effective, and one possible example can be found in ongoing research at the University of Michigan that explores the educational implications of implementing a,web-based lecture capture system in large lecture courses. Student use of and reactions to such systems is important, as is the potential to influence course performance for students in general. but also for under-represented and at-risk student subpopulations. In addition to helping bring our current landscape into focus. this paper will identify effective practices as well as continuing challenges to improving educational practice for undergraduate students.","[Dey, Eric L.] Univ Michigan, Sch Educ, Ctr Study Higher & Postsecondary Educ, Ann Arbor, MI 48109 USA",,,,,,,,11,1,1,0,0,AMER INST PHYSICS,MELVILLE,"2 HUNTINGTON QUADRANGLE, STE 1NO1, MELVILLE, NY 11747-4501 USA",0094-243X,,978-0-7354-0594-3,AIP CONF PROC,,,2008,1064,,,,,,11,14,,,,4,"Education & Educational Research; Education, Scientific Disciplines",Education & Educational Research,BIM33,WOS:000260774800003,,No,,,29/11/2017
J,"Zhang, C; Rui, Y; Crawford, J; He, LW",,,,"Zhang, Cha; Rui, Yong; Crawford, Jim; He, Li-Wei",,,An automated end-to-end lecture capture and broadcasting system,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,,,English,Article,,,,,,design; automated lecture capture; live/on-demand broadcasting; lecture broadcasting,,"Remote viewing of lectures presented to a live audience is becoming increasingly popular. At the same time, the lectures can be recorded for subsequent on-demand viewing over the Internet. Providing such services, however, is often prohibitive due to the labor-intensive cost of capturing and pre/post-processing. This article presents a complete automated end-to-end system that supports capturing, broadcasting, viewing, archiving and searching of presentations. Specifically, we describe a system architecture that minimizes the pre- and post-production time, and a fully automated lecture capture system called iCam2 that synchronously captures all contents of the lecture, including audio, video, and presentation material. No staff is needed during lecture capture and broadcasting, so the operational cost of the system is negligible. The system has been used on a daily basis for more than 4 years, during which 522 lectures have been captured. These lectures have been viewed over 20,000 times.","[Zhang, Cha; Rui, Yong; Crawford, Jim; He, Li-Wei] Microsoft Res, Redmond, WA 98052 USA","Zhang, C (reprint author), Microsoft Res, 1 Microsoft Way, Redmond, WA 98052 USA.",chazhang@microsoft.com; yongrui@microsoft.com; jamescr@microsoft.com; lhe@microsoft.com,,,,,,31,7,7,0,4,ASSOC COMPUTING MACHINERY,NEW YORK,"2 PENN PLAZA, STE 701, NEW YORK, NY 10121-0701 USA",1551-6857,1551-6865,,ACM T MULTIM COMPUT,ACM Trans. Multimed. Comput. Commun. Appl.,,2008,4,1,,,,,,,6,10.1145/1324287.1324293,,23,"Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,264UK,WOS:000253315700006,,No,,,29/11/2017
S,"Hurst, W; Lauer, T; Muller, R",,"Filipe, J; Obaidat, MS",,"Huerst, Wolfgang; Lauer, Tobias; Mueller, Rainer",,,Enhanced Interaction for Streaming Media,E-BUSINESS AND TELECOMMUNICATION NETWORKS,Communications in Computer and Information Science,,English,Proceedings Paper,3rd International Conference on E-Business and Telecommunication Networks,"AUG 07-10, 2006","Setubal, PORTUGAL",,,Media delivery; multimedia streaming; lecture recording; interfaces; interaction; navigation,,"Streaming is a popular and efficient way of web-based on-demand multimedia delivery. However, flexible methods of interaction and navigation, as required, for example, in learning applications, are very restricted with streamed contents. Using the example of recorded lectures, we point out the importance of such advanced interaction which is not possible with purely streamed media. A new delivery method based on a combination of streaming and download is proposed which can be realized with Rich Internet Applications. It combines the advantages of streaming delivery with navigational and interactive features that are usually known only from locally available media.","[Huerst, Wolfgang; Lauer, Tobias] Univ Freiburg, Inst Comp Sci, D-79098 Freiburg, Germany; [Mueller, Rainer] imc AG, Office Freiburg, D-79100 Freiburg, Germany","Hurst, W (reprint author), Univ Freiburg, Inst Comp Sci, D-79098 Freiburg, Germany.",huerst@acm.org; lauer@informatik.uni-freiburg.de; rainer.mueller@im-c.de,,,,,,10,0,0,0,0,SPRINGER-VERLAG BERLIN,BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",1865-0929,,978-3-540-70759-2,COMM COM INF SC,,,2008,9,,,,,,252,+,,,,2,"Operations Research & Management Science; Mathematics, Applied; Telecommunications",Operations Research & Management Science; Mathematics; Telecommunications,BIK59,WOS:000260413300020,,No,,,29/11/2017
J,"Friedland, G; Rojas, R",,,,"Friedland, Gerald; Rojas, Raul",,,Anthropocentric Video Segmentation for Lecture Webcasts,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,,,English,Article,,,,,,,,"Many lecture recording and presentation systems transmit slides or chalkboard content along with a small video of the instructor. As a result, two areas of the screen are competing for the viewer's attention, causing the widely known split-attention effect. Face and body gestures, such as pointing, do not appear in the context of the slides or the board. To eliminate this problem, this article proposes to extract the lecturer from the video stream and paste his or her image onto the board or slide image. As a result, the lecturer acting in front of the board or slides becomes the center of attention. The entire lecture presentation becomes more human-centered. This article presents both an analysis of the underlying psychological problems and an explanation of signal processing techniques that are applied in a concrete system. The presented algorithm is able to extract and overlay the lecturer online and in real time at full video resolution. Copyright (C) 2008 G. Friedland and R. Rojas.","[Friedland, Gerald] Int Comp Sci Inst, Berkeley, CA 94704 USA; [Rojas, Raul] Free Univ Berlin, Inst Informat, D-14195 Berlin, Germany","Friedland, G (reprint author), Int Comp Sci Inst, 1947 Ctr St,Suite 600, Berkeley, CA 94704 USA.",fractor@icsi.berkeley.edu,,,,,,53,0,0,0,3,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",1687-5176,,,EURASIP J IMAGE VIDE,EURASIP J. Image Video Process.,,2008,,,,,,,,,195743,10.1155/2008/195743,,10,"Engineering, Electrical & Electronic; Imaging Science & Photographic Technology",Engineering; Imaging Science & Photographic Technology,V14UZ,WOS:000207760600001,,gold,,,29/11/2017
S,"Dickson, PE; Adrion, WR; Hanson, AR",,,IEEE,"Dickson, Paul E.; Adrion, W. Richards; Hanson, Allen R.",,,Automatic Capture and Presentation Creation from Multimedia Lectures,"FIE: 2008 IEEE FRONTIERS IN EDUCATION CONFERENCE, VOLS 1-3",Frontiers in Education Conference,,English,Proceedings Paper,IEEE Frontiers in Education Conference 2008,"OCT 22-25, 2008","Saratoga Springs, NY",IEEE,,Distance education; Lecture capture; Content enhancement,,"For more than a decade, the RIPPLES group at the University of Massachusetts Amherst has developed and deployed content delivery systems to support on-campus and distance education. This has been an effective but expensive approach because of its dependence on content captured by human operators and substantial production effort. Presentations Automatically Organized from Lectures (PAOL) is a classroom-capture system that is transparent to and places no constraints (teaching style or pedagogy) on a lecturer. PAOL is unique no other system can capture unconstrained computer-based materials, capture whiteboard writing and drawing, and produce a speaker video without requiring preinstalled software, electronic whiteboards, or special training. PAOL uses high-resolution cameras, a computer screen capture device, and a wireless microphone to automatically create multimedia Flash presentations, which include a digitally edited instructor video, enhanced images of all material presented by computer or written/drawn on a whiteboard, and an index to support navigation. The PAOL system has been used extensively during system development in several varied settings. We report on usability studies to determine the most effective presentation formats and interfaces and our efforts to capture a full course to further evaluate the impact on teaching and learning.","[Dickson, Paul E.; Adrion, W. Richards; Hanson, Allen R.] Univ Massachusetts, Amherst, MA 01003 USA",,pauld@cs.umass.edu; adrion@cs.umass.edu; hanson@umass.edu,,,,,,18,1,1,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",0190-5848,,978-1-4244-1969-2,PROC FRONT EDUC CONF,,,2008,,,,,,,14,19,,,,6,"Education & Educational Research; Education, Scientific Disciplines; Engineering, Electrical & Electronic",Education & Educational Research; Engineering,BMA59,WOS:000271669200005,,No,,,29/11/2017
S,"Repp, S; Gross, A; Meinel, C",,"Woolf, BP; Aimeur, E; Nkambou, R; Lajoie, S",,"Repp, Stephan; Gross, Andreas; Meinel, Christoph",,,Dynamic browsing of audiovisual lecture recordings based on automated speech recognition,"INTELLIGENT TUTORING SYSTEM, PROCEEDINGS",LECTURE NOTES IN COMPUTER SCIENCE,,English,Proceedings Paper,9th International Conference on Intelligent Tutoring Systems,"JUN 23-JUL 27, 2008","Montreal, CANADA","Univ Quebec Montreal, McGill Univ, Univ Montreal, ACM SIGSCE, ACM SIGAPP, IEEE, IEEE Comp Soc, AAAI, AIED SOC, Japanese Assoc Artificial Intelligence, Japanes Soc Informat & Educ, Chinese Assoc Artificial Intelligence",,,,"The number of digital lecture video recordings has increased dramatically since recording technology became available. The accessibility and the search inside of this large archive are limited and difficult. Manual annotation and segmentation is time-consuming and useless. A promising approach is based on using the audio layer of a lecture recording to get information about the lecture contents. In this paper, we are presenting a retrieval method and a user-interface based on existing recorded lectures. A deficient transcription from a speech recognition engine (SRE) is sufficient for browsing in the video-archive. A user-interface for dynamic browsing of the e-learning contents is presented and an evaluation of the supplied keywords concludes the paper.","[Repp, Stephan; Gross, Andreas; Meinel, Christoph] Hasso Plattner Inst Softwaresystemtech GmbH, D-14482 Potsdam, Germany",,,,,,,,4,0,0,0,0,SPRINGER-VERLAG BERLIN,BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",0302-9743,,978-3-540-69130-3,LECT NOTES COMPUT SC,,,2008,5091,,,,,,662,664,,,,3,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Education & Educational Research",Computer Science; Education & Educational Research,BIB24,WOS:000258073200070,,No,,,29/11/2017
B,"Thompson, C; Brooks, C; Greer, J",,,IEEE,"Thompson, Craig; Brooks, Christopher; Greer, Jim",,,Distributed Image Processing for Automated Lecture Capture Post-Production,ISM: 2008 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA,IEEE International Symposium on Multimedia-ISM,,English,Proceedings Paper,IEEE International Symposium on Multimedia,"DEC 15-17, 2008","Berkeley, CA",IEEE,,,,"This paper describes a low-cost distributed computing approach for the post-processing of videos. It has been implemented to support the creation of composite videos from various video sources, and supports image manipulation on individual frames of the video. The principle deployment scenario for this work has been to support the automatic creation of output video based on traditional face-to-face lectures. Experimental results suggest that this approach can lead to significant speedups with a reduction in operating costs by leveraging existing underutilized equipment.","[Thompson, Craig; Brooks, Christopher; Greer, Jim] Univ Saskatchewan, Dept Comp Sci, Saskatoon, SK S7N 0W0, Canada","Thompson, C (reprint author), Univ Saskatchewan, Dept Comp Sci, 110 Sci Pl, Saskatoon, SK S7N 0W0, Canada.",cdt830@mail.usask.ca; cab938@mail.usask.ca; greer@cs.usask.ca,,,,,,4,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-4244-4089-4,IEEE INT SYM MULTIM,,,2008,,,,,,,698,701,,10.1109/ISM.2008.44,,4,"Computer Science, Information Systems; Telecommunications",Computer Science; Telecommunications,BPQ12,WOS:000279626000112,,No,,,29/11/2017
B,"Dickson, PE; Adrion, WR; Hanson, AR",,,ACM,"Dickson, Paul E.; Adrion, W. Richards; Hanson, Allen R.",,,Automatic Creation of Indexed Presentations from Classroom Lectures,ITICSE '08: PROCEEDINGS OF THE 13TH ANNUAL CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION,,,English,Proceedings Paper,13th Annual Conference on Innovation and Technology in Computer Science Education,"JUN 30-JUL 02, 2008","Madrid, SPAIN","ACM SIGCSE, Univ Politecn Madrid, Madrid Convent Bureau, Minist Educ, Google, Intel, Microsoft Res",,Automatic Capture; Lecture Recording; Image Processing; Video Creation; Indexing,,"This paper describes a system designed to automatically capture classroom events as videos and images. This content is delivered in several ways, most commonly as indexed multimedia presentations but also in real time as notes of classroom events. This content creation system identifies when significant events occur, e.g., material presented by computer and projected on a screen or written on a standard whiteboard, and saves these events as enhanced images. In parallel with the whiteboard capture, a digitally-zoomed video of the speaker is created. The significant event images (from cameras and computers) are used to create an index into the video and the images, video and index are complied into a Flash presentation. These presentations are used by on-campus or distance students. The event images can also be stored and exported to a Ubiquitous Presenter-style server that provides students with real-time, in-class access. The event images and video are recorded transparently to the lecturer. The lecturer need not make any modifications to teaching style or modality (whiteboard, computer-based presentation, or a combination). The primary focus of this paper is on event image and video capture techniques. The lecture capture system has great benefits for education and we report some initial experience using it in support of computer science curricula.","[Dickson, Paul E.; Adrion, W. Richards; Hanson, Allen R.] Univ Massachusetts, Dept Comp Sci, Amherst, MA 01003 USA",,pauld@cs.umass.edu; adrion@cs.umass.edu; hanson@cs.umass.edu,,,,,,12,4,4,0,0,ASSOC COMPUTING MACHINERY,NEW YORK,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",,,978-1-60558-078-4,,,,2008,,,,,,,12,16,,,,5,"Computer Science, Theory & Methods; Education & Educational Research",Computer Science; Education & Educational Research,BJH75,WOS:000265950400002,,No,,,29/11/2017
J,"Ducharme, AD; Gallagher, NC",,,,"Ducharme, Alfred D.; Gallagher, Neal C.",,,Distance education technology: New model for lecture recording and distribution,JOURNAL OF INTERNET TECHNOLOGY,,,English,Article,,,,,,distance learning; lecture recording; education,,"The College of Engineering and Computer Science at the University of Central Florida (UCF) has been a leader in distance learning for the last 25 years. This was initiated by the Florida legislature by the creation of the Florida Engineering Education Delivery System. The goal of this system was to promote engineering education in the State of Florida. The early delivery system utilized video tape's and transitioned to the internet in 2000. In spring 2007, the College of Engineering And Computer Science purchased a software based lecture recording and delivery system, Tegrity Campus 2.0. This system was used to completely replace all existing recording hardware and software. The system launch included 90 faculty delivering 100 courses to 2300 engineering students. This paper addresses a new model for recording and distributing engineering lectures on the internet. First, we describe our transition from the old to the new model for distance education. Second, a comparison of the implementation requirements, the advantages and disadvantages of both models are presented. Finally, in addition to any difficulties encountered while launching the new system and how they were solved.","[Ducharme, Alfred D.; Gallagher, Neal C.] Univ Cent Florida, Coll Engn & Comp Sci, Orlando, FL 32816 USA","Ducharme, AD (reprint author), Univ Cent Florida, Coll Engn & Comp Sci, Orlando, FL 32816 USA.",ducharme@mail.ucf.edu; nealg@eecs.ucf.edu,,,,,,3,0,0,0,1,NATIONAL DONG HWA UNIV,HUALIEN,"NATIONAL DONG HWA UNIV, JIT, COMPUTER & IT CENTER, HUALIEN, TAIWAN 00000, PEOPLES R CHINA",1607-9264,,,J INTERNET TECHNOL,J. Internet Technol.,JAN,2008,9,1,,,,,1,6,,,,6,"Computer Science, Information Systems; Telecommunications",Computer Science; Telecommunications,325QD,WOS:000257602500001,,No,,,29/11/2017
J,"Bond, D; Holland, T; Wells, P",,"Remenyi, D",,"Bond, David; Holland, Tony; Wells, Peter",,,Podcasting and its Relation with Student Performance,PROCEEDINGS OF THE 3RD INTERNATIONAL CONFERENCE ON E-LEARNING,,,English,Proceedings Paper,3rd International Conference on e-Learning,"JUN 26-27, 2008","Ctr Educ Technol, Univ Cape Town, Cape Town, SOUTH AFRICA",,"Ctr Educ Technol, Univ Cape Town",podcast; student performance; utilization,,"The provision of course material, including lecture notes and overheads, to students through learning management systems is commonplace in Australian universities, and the practice is well documented in the literature (e. g Jensen, 2007). Similarly, provision of lecture recording on magnetic tape cassettes dates back at least three decades, and is common place in provision of distance education. However, the digital recording of lectures and making these available to students generally through a learning management system (now referred to as podcasting) is a much more recent phenomenon and has only really impacted on the tertiary education sector for the past 3-4 years (Sull, 2005). This paper addresses the issues of how students utilise these recordings, and perhaps more importantly, how it impacts students academic performance. A major concern in the Australian university sector is that some students choose not to attend lectures. This occurs notwithstanding the belief that lecture attendance is a critical mechanism for the presentation of course material. Researchers have investigated the reasons for this (e. g. Holland and Pithers, 2007) and the most commonly cited reasons for this non-attendance is that students consider themselves to be 'time-poor' and 'too busy with assessments' to regularly attend. Endeavouring to address this problem and ensure student access to course material, university lecturers have availed of recent technological developments and podcast lectures. Being able to download podcast lectures and listen to them at a convenient time and place would seem to be an ideal solution for 'time-poor' students and is often cited as a major reason for university lecturers to consider podcasting their lectures (e. g. Read, 2005). Furthermore, there is evidence that students consider podcasting lectures as being of 'excellent value' to them in their studies (Tynan and Colbran, 2006). While students may consider podcasts to be 'excellent value' from an intrinsic convenience perspective, a more critical concern is how students utilise podcast lectures and how this is associated with student academic performance. Convenience is important for time-poor students, but can podcasts be used as a substitute for lecture attendance, or are they more useful as revision tool. To address this it is first necessary to consider student utilisation of podcast lectures, and then evaluate the relation between student utilisation of podcasts and performance. This is necessary to determine whether podcasts really represent 'excellent value' and if students are getting value from the act of downloading a podcast lecture. The first of the primary results from this study suggest that students do use podcasts, with approximately 85 percent of students accessing the podcasts, and downloading, on average, eight of the twelve podcasts. The second is that the utilization of podcasts is positively associated with student performance, but only when the podcasts are used for revision and only for theoretical questions. The issue of whether podcasts can be regarded as a substitute for lecture attendance for 'time poor' students remains unresolved.","[Bond, David; Holland, Tony; Wells, Peter] Univ Technol Sydney Australia, Sydney, NSW, Australia",,David.Bond@uts.edu.au; Tony.Holland@uts.edu.au; Peter.Wells@uts.edu.au,,"wells, peter/0000-0001-6822-4826; Bond, David/0000-0001-5134-4469",,,,15,1,1,0,1,ACAD  CONFERENCES LTD,NR READING,"CURTIS FARM, KIDMORE END, NR READING, RG4 9AY, ENGLAND",,,978-1-906638-04-7,,,,2008,,,,,,,33,42,,,,10,Education & Educational Research,Education & Educational Research,BBP42,WOS:000307812100005,,No,,,29/11/2017
B,"Stolzenberg, D; Pforte, S",,"Remenyi, D",,"Stolzenberg, Daniel; Pforte, Stefan",,,Lecture recording: Structural and symbolic information vs. flexibility of presentation,"2ND INTERNATIONAL CONFERENCE ON E-LEARNING, PROCEEDINGS",,,English,Proceedings Paper,2nd International Conference on e-Learning (ICEL 2007),"JUN 28-29, 2007","Columbia Univ, Teachers Coll, New York, NY",,"Columbia Univ, Teachers Coll",rapid e-Learning; lecture recording; lightweight content production; browser interactivity,,"Rapid e-Learning is an ongoing trend which enables flexible and cost-effective creation of learning materials. Especially, lecture recording has turned out to be a lightweight method particularly suited for existing lectures and blended learning strategies. In order to not only sequentially playback but offer full fledged navigation, search and inspection of the recorded lecture, chapter marks and search indices have to be embedded. To solve this, two basic approaches for lecture recording tools can be identified - both of them having certain advantages and drawbacks. On the one hand there are systems based on symbolic representation of common slideshow formats like MS PowerPoint. Therefore, they preserve structure and symbol information contained therein, but are lacking flexibility of supported dynamic and interactive formats. On the other hand there are systems based on pixel representation and screen grabbing technologies. While supporting any presentation content, structural and symbolic information cannot be extracted directly and thus has to be post-processed from the recorded video. This paper discusses a perspective of combining these approaches by widening the slide-metaphor to a more flexible scene-based presentation, preserving both the structural and symbolic information. One possible attempt for this is identified by introducing a browser-based scene concept. Symbolic information can be directly extracted from the XHTML source code and structural information derives from switching through scenes. The browser itself is capable of presenting a wide range of dynamic and interactive formats, thus offering more flexible presentations. For approving the proposed concepts, a prototype called ""Virtual Overhead"" was developed and evaluated.","[Stolzenberg, Daniel] Univ Rostock, D-2500 Rostock 1, Germany; [Pforte, Stefan] Baltic Coll, Gustrow, Germany","Stolzenberg, D (reprint author), Univ Rostock, D-2500 Rostock 1, Germany.",daniel.stolzenberg@uni-rostock.de; pforte@baltic-college.de,,,,,,8,0,0,0,0,ACAD  CONFERENCES LTD,NR READING,"CURTIS FARM, KIDMORE END, NR READING, RG4 9AY, ENGLAND",,,978-1-905305-46-9,,,,2007,,,,,,,451,+,,,,3,"Computer Science, Information Systems; Computer Science, Theory & Methods; Education & Educational Research; Information Science & Library Science; Social Issues",Computer Science; Education & Educational Research; Information Science & Library Science; Social Issues,BHJ37,WOS:000253556600051,,No,,,29/11/2017
B,"Pale, P; Miletic, I; Kostanjcar, Z; Pandzic, H; Jeren, B",,,IEEE,"Pale, Predrag; Miletic, Ivan; Kostanjcar, Zvonko; Pandzic, Hrvoje; Jeren, Branko",,,Pyramidia - An integrative E-learning tool,"EUROCON 2007: THE INTERNATIONAL CONFERENCE ON COMPUTER AS A TOOL, VOLS 1-6",,,English,Proceedings Paper,International Conference on Computer as a Tool (EUROCON 2007),"SEP 09-12, 2007","Warsaw, POLAND",,,e-learning; lecture capture; presentation software,,"Nowadays, students need digital, highly interactive educational materials which can be accessed at any time in their original form. In the same time, lecturing seems to remain dominant form of teaching. This combined raises the importance to video record lectures. Pyramidia was created to satisfy both the students' demands for interactive and easy-to-use material and the lecturers' time and technological limitations. It is a software package that combines PowerPoint presentation with lecture video capturing. This allows students to re-experience the lecture at any time and anywhere. Pyramidia is a descendant of previous software developments and research in ICT use in education and has been used and tested through an entire semester of lectures for several courses. Pyramidia combines two strong elements into one lecturing system. The first one being the addition of variety of content and interactivity to existing PowerPoint presentations in an easy way that does not require much computer knowledge nor lecturer's time. The second one is the video recording of a lecture, which helps students to preserve the lecture in its original form. This reduces the chance for students to miss any part of a lecture. It also significantly augments the potential audience of the lecture. This paper describes the Pyramidia application package, which helps lecturers to transfer knowledge to students, with an emphasis on lecture video capturing and combining it with additional interactive content.","[Pale, Predrag; Miletic, Ivan; Kostanjcar, Zvonko; Pandzic, Hrvoje; Jeren, Branko] Univ Zagreb, Fac Elect Engn & Comp, Zagreb 41000, Croatia","Pale, P (reprint author), Univ Zagreb, Fac Elect Engn & Comp, Zagreb 41000, Croatia.",,,,,,,18,0,0,0,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-4244-0812-2,,,,2007,,,,,,,1167,1172,,,,6,"Automation & Control Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",Automation & Control Systems; Computer Science; Engineering,BHX65,WOS:000257261900196,,No,,,29/11/2017
B,"Ziewer, P; Ebner, M; Safran, C; Slany, W",,,IEEE Comp Soc,"Ziewer, Peter; Ebner, Martin; Safran, Christian; Slany, Wolfgang",,,Searching for classes of visual content in electronic lectures,"ISM WORKSHOPS 2007: NINTH IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA - WORKSHOPS, PROCEEDINGS",IEEE International Symposium on Multimedia-ISM,,English,Proceedings Paper,9th IEEE International Symposium on Multimedia,"DEC 10-12, 2007","Taichung, TAIWAN","IEEE, IEEE Comp Soc, Natl Sci Council, Inst Informat Ind, Asia Univ",,,,"Lecture recording allows the creation of electronic learning material for local and distance education. Flexible screen recording techniques can capture virtually any material displayed during a presentation. Unlike other screen recorders, our TeleTeachingTool already offers slide-based navigation and full text search as meaningful retrieval features. Our paper describes how to locate remembered content, such as images, diagrams, or graphs, and furthermore how to find similar passages and related content in large databases of recorded lectures by classifying navigational indices. We introduce a classification scheme using characteristic parameters based on the analysis of color histograms of the recorded screens.","[Ziewer, Peter] Tech Univ Munich, D-8000 Munich, Germany; [Ebner, Martin; Safran, Christian; Slany, Wolfgang] Graz Univ Technol, Graz, Austria","Ziewer, P (reprint author), Tech Univ Munich, D-8000 Munich, Germany.",ziewer@in.tum.de; martin.ebner@tugraz.at; csafran@tugraz.at; wolfgang.slany@tugraz.at,,"Ebner, Martin/0000-0001-5789-5296",,,,11,1,1,0,0,IEEE COMPUTER SOC,LOS ALAMITOS,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",,,978-0-7695-3084-0,IEEE INT SYM MULTIM,,,2007,,,,,,,377,+,,10.1109/ISM.Workshops.2007.69,,2,"Business; Computer Science, Interdisciplinary Applications; Education & Educational Research; Education, Scientific Disciplines; Engineering, Electrical & Electronic; Sociology",Business & Economics; Computer Science; Education & Educational Research; Engineering; Sociology,BHL17,WOS:000253974200063,,No,,,29/11/2017
